"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS2"
"TIMESTAMP","RECORD","FWS_Data(1)","FWS_Data(2)","FWS_Data(3)","FWS_Data(4)","FWS_Data(5)","FWS_Data(6)","FWS_Data(7)","FWS_Data(8)","FWS_Data(9)","FWS_Data(10)","FWS_Data(11)","FWS_Data(12)","FWS_Data(13)","FWS_Data(14)","FWS_Data(15)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-19 18:02:00",2505,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=025.6C","Ua=071.2P","Pa=000985.6H","T=200919180144","La=29.0147710","N","Lo=105.8498230","E  ",""
"2020-09-19 19:02:00",2506,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=025.0C","Ua=076.0P","Pa=000985.5H","T=200919190144","La=29.0147700","N","Lo=105.8498190","E  ",""
"2020-09-19 20:02:00",2507,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.5C","Ua=093.4P","Pa=000985.9H","T=200919200144","La=29.0147980","N","Lo=105.8497920","E  ",""
"2020-09-19 21:02:00",2508,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.5C","Ua=096.8P","Pa=000986.1H","T=200919210144","La=29.0147990","N","Lo=105.8497830","E  ",""
"2020-09-19 22:02:00",2509,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.2C","Ua=098.3P","Pa=000986.6H","T=200919220145","La=29.0148200","N","Lo=105.8497950","E  ",""
"2020-09-19 23:02:00",2510,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.0C","Ua=092.3P","Pa=000986.8H","T=200919230145","La=29.0148130","N","Lo=105.8497950","E  ",""
"2020-09-20 00:02:00",2511,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.8C","Ua=093.6P","Pa=000987.0H","T=200920000145","La=29.0147750","N","Lo=105.8498330","E  ",""
"2020-09-20 01:02:00",2512,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.3C","Ua=087.8P","Pa=000987.2H","T=200920010145","La=29.0147820","N","Lo=105.8498090","E  ",""
"2020-09-20 02:02:00",2513,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.7C","Ua=090.1P","Pa=000987.0H","T=200920020145","La=29.0147890","N","Lo=105.8497930","E  ",""
"2020-09-20 03:02:00",2514,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.0C","Ua=093.6P","Pa=000986.9H","T=200920030145","La=29.0148090","N","Lo=105.8498070","E  ",""
